film_id,"title","release_date",release_week,"runtime",budget,revenue,profit,animation,adventure,action,comedy,crime,drama,fantasy,family,history,horror,music,mystery,romance,science fiction,thriller,war,western,"genres",hit,num_bankable_actor
5,"Four Rooms","1995-12-09",49,"98.0",4000000,4300000,-1850000.0000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",0,1
11,"Star Wars","1977-05-25",21,"121.",11000000,775398007,376699003.5000,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1,1
12,"Finding Nemo","2003-05-30",21,"100.",94000000,940335536,376167768.0000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",1,0
13,"Forrest Gump","1994-07-06",27,"142.",55000000,677945399,283972699.5000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1,1
14,"American Beauty","1999-09-15",37,"122.",15000000,356296601,163148300.5000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 18, 'name': 'Drama'}]",1,0
15,"Citizen Kane","1941-04-30",17,"119.",839727,23217674,10769110.0000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",0,0
16,"Dancer in the Dark","2000-05-17",20,"140.",12800000,40031879,7215939.5000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 10402, 'name': 'Music'}]",0,0
18,"The Fifth Element","1997-05-07",18,"126.",90000000,263920180,41960090.0000,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",1,1
19,"Metropolis","1927-01-10",2,"153.",92620000,650422,-92294789.0000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",0,0
22,"Pirates of the Caribbean: The Curse of the Black Pearl","2003-07-09",27,"143.",140000000,655011224,187505612.0000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",1,1
24,"Kill Bill: Vol. 1","2003-10-10",40,"111.",30000000,180949000,60474500.0000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",1,0
25,"Jarhead","2005-11-04",44,"125.",72000000,96889998,-23555001.0000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",0,0
27,"9 Songs","2004-07-16",28,"66.0",1000000,1574623,-212688.5000,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",0,0
28,"Apocalypse Now","1979-08-15",32,"153.",31500000,89460381,13230190.5000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",0,1
33,"Unforgiven","1992-08-07",31,"131.",14000000,159157447,65578723.5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[{'id': 37, 'name': 'Western'}]",1,0
35,"The Simpsons Movie","2007-07-25",29,"87.0",75000000,527068851,188534425.5000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1,1
38,"Eternal Sunshine of the Spotless Mind","2004-03-19",11,"108.",20000000,72258126,16129063.0000,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0,1
55,"Amores perros","2000-06-16",24,"154.",2000000,20908467,8454233.5000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0,0
58,"Pirates of the Caribbean: Dead Man's Chest","2006-06-20",25,"151.",200000000,1065659812,332829906.0000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",1,1
59,"A History of Violence","2005-09-23",38,"96.0",32000000,60740827,-1629586.5000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",0,0
62,"2001: A Space Odyssey","1968-04-10",14,"149.",10500000,68700000,23850000.0000,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",0,0
63,"Twelve Monkeys","1995-12-29",52,"129.",29500000,168840000,54920000.0000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",1,2
64,"Talk to Her","2002-03-14",10,"112.",9285469,51001550,16215306.0000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0,0
65,"8 Mile","2002-11-08",44,"110.",41000000,215000000,66500000.0000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 18, 'name': 'Drama'}]",1,0
66,"Absolute Power","1997-02-14",6,"121.",50000000,50068310,-24965845.0000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0,0
69,"Walk the Line","2005-09-13",37,"136.",28000000,186438883,65219441.5000,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",1,0
70,"Million Dollar Baby","2004-12-15",50,"132.",30000000,216763646,78381823.0000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 18, 'name': 'Drama'}]",1,0
